q,chi1_z,chi2_z,PN_order,Padé,Taylor,Taylor_minus_Pade,Pade_better
0.25,-0.5473684210526316,0.0421052631578946,1PN,0.3342845025356573,0.8935404281282167,0.5592559255925593,True
0.25,-0.5473684210526316,0.0421052631578946,2PN,0.9671477888642904,0.7967307471601202,-0.17041704170417027,False
0.25,-0.5473684210526316,0.1263157894736841,0PN,1.0243655264511924,1.2963927291714643,0.2720272027202719,True
0.25,-0.5473684210526316,0.1263157894736841,1PN,0.196282718170365,0.8187449643949867,0.6224622462246217,True
0.25,-0.5473684210526316,0.1263157894736841,2PN,0.7715402439229395,0.7491380036989179,-0.022402240224021597,False
0.25,-0.5473684210526316,0.2105263157894736,0PN,0.7479435218632653,1.1807868061916982,0.4328432843284329,True
0.25,-0.5473684210526316,0.2105263157894736,1PN,0.0798767151825967,0.7519439219032695,0.6720672067206728,True
0.25,-0.5473684210526316,0.2105263157894736,2PN,0.5807268001910981,0.7055392814392225,0.12481248124812439,True
0.25,-0.5473684210526316,0.2947368421052632,0PN,0.5164302525598599,1.0940880183364374,0.5776577657765776,True
0.25,-0.5473684210526316,0.2947368421052632,1PN,0.006021992664662,0.7052491344480485,0.6992271417833865,True
0.25,-0.5473684210526316,0.2947368421052632,2PN,0.4044190514397483,0.6796465741920228,0.27522752275227447,True
0.25,-0.5473684210526316,0.3789473684210525,0PN,0.3159911030578932,1.0240619101386017,0.7080708070807085,True
0.25,-0.5473684210526316,0.3789473684210525,1PN,0.0744479408464968,0.6696264665942468,0.5951785257477501,True
0.25,-0.5473684210526316,0.3789473684210525,2PN,0.2335828622338107,0.6616256665142393,0.42804280428042857,True
0.25,-0.5473684210526316,0.463157894736842,0PN,0.1343206301903912,0.9624034384712196,0.8280828082808284,True
0.25,-0.5473684210526316,0.463157894736842,1PN,0.1361064125138789,0.6367708752148937,0.5006644627010148,True
0.25,-0.5473684210526316,0.463157894736842,2PN,0.0591131094383161,0.6447716752949022,0.585658565856586,True
0.25,-0.5473684210526316,0.5473684210526315,0PN,0.020221349085975,0.9190725803069636,0.8988512312209886,True
0.25,-0.5473684210526316,0.5473684210526315,1PN,0.1818375107021368,0.6174424172906625,0.4356049065885257,True
0.25,-0.5473684210526316,0.5473684210526315,2PN,0.1082301499660638,0.6406447375226851,0.5324145875566213,True
0.25,-0.5473684210526316,0.631578947368421,0PN,0.1647170804072093,0.8809874900498365,0.7162704096426271,True
0.25,-0.5473684210526316,0.631578947368421,1PN,0.2271233210312715,0.6001594072415557,0.37303608621028417,True
0.25,-0.5473684210526316,0.631578947368421,2PN,0.2807286815673251,0.6377631676175932,0.3570344860502681,True
0.25,-0.5473684210526316,0.7157894736842105,0PN,0.2918674810350237,0.8562473304461249,0.5643798494111012,True
0.25,-0.5473684210526316,0.7157894736842105,1PN,0.2686651608030002,0.5938210878218624,0.3251559270188622,True
0.25,-0.5473684210526316,0.7157894736842105,2PN,0.4398822825151716,0.6442261283259128,0.20434384581074116,True
0.25,-0.5473684210526316,0.8,0PN,0.4145253123667758,0.8359997401384756,0.42147442777169974,True
0.25,-0.5473684210526316,0.8,1PN,0.3353173915746965,0.5903751776822292,0.25505778610753277,True
0.25,-0.5473684210526316,0.8,2PN,0.5865425140869474,0.6527814183062923,0.06623890421934497,True
0.25,-0.4631578947368421,-0.8,0PN,6.279467541452477,6.279467541452477,0.0,False
0.25,-0.4631578947368421,-0.8,1PN,6.279467541452477,6.279467541452477,0.0,False
0.25,-0.4631578947368421,-0.8,2PN,6.21226082078041,4.020841678866218,-2.191419141914192,False
0.25,-0.4631578947368421,-0.7157894736842105,0PN,6.287730276845437,6.287730276845437,0.0,False
0.25,-0.4631578947368421,-0.7157894736842105,1PN,5.555657069524704,4.387540257843536,-1.168116811681168,False
0.25,-0.4631578947368421,-0.7157894736842105,2PN,4.984399943812134,2.7569772015379064,-2.2274227422742277,False
0.25,-0.4631578947368421,-0.6315789473684211,0PN,6.302047250305317,6.302047250305317,0.0,False
0.25,-0.4631578947368421,-0.6315789473684211,1PN,4.281845230103296,3.0889259381741034,-1.1929192919291927,False
0.25,-0.4631578947368421,-0.6315789473684211,2PN,4.051422187799067,2.172834329013188,-1.8785878587858784,False
0.25,-0.4631578947368421,-0.5473684210526316,0PN,6.003075635123416,5.3798133088907925,-0.6232623262326236,False
0.25,-0.4631578947368421,-0.5473684210526316,1PN,3.264401767736677,2.4083161591758206,-0.8560856085608561,False
0.25,-0.4631578947368421,-0.5473684210526316,2PN,3.339609288488752,1.7970550330632098,-1.542554255425542,False
0.25,-0.4631578947368421,-0.4631578947368421,0PN,4.929411666318078,3.979716696821129,-0.949694969496949,False
0.25,-0.4631578947368421,-0.4631578947368421,1PN,2.467565481699616,1.971515876739121,-0.4960496049604952,False
0.25,-0.4631578947368421,-0.4631578947368421,2PN,2.7851972448759343,1.5274714722986764,-1.257725772577258,False
