PN_order,model,pade_num_degree,pade_den_degree,pade_label,sigma_power,a_max,S_max,M_at_max,J_at_max,chi_at_max,Ebind_at_max,a_merger_NR,delta_a,cost_Ebind,cost_chi,nfev_Ebind,nfev_chi,a_extrap_min,a_extrap_max,n_extrap,n_physical_points,physical_fraction,flags,status,error
1PN,Padé [2/2],2,2,Padé [2/2],3.0,2.876187618761877,11.124153052246493,0.9837116735406358,0.5403454183138312,0.5583876741707192,-0.016288326459364073,3.141313659672962,0.2651260409110847,1.5673018438633335e-11,5.879741138414829e-13,6,14,1.0,15.0,10000,10000,1.0,OK,success,
1PN,Padé [2/2],2,2,Padé [2/2],4.0,2.8607860786078607,11.12547549795783,0.9837178990619487,0.5400727505815803,0.5580988380060862,-0.01628210093805115,3.141313659672962,0.2805275810651011,6.9888539400153604e-12,1.1102230246251565e-13,6,14,1.0,15.0,10000,10000,1.0,OK,success,
1PN,Padé [3/2],3,2,Padé [3/2],1.0,1.0,11.847192426281289,1.017392330900999,0.5900310801919844,0.5700303374024283,0.01739233090099901,3.141313659672962,2.141313659672962,1.66759939190797e-11,3.0386804183990535e-12,1,185,1.0,15.0,10000,10000,1.0,maximum_at_lower_boundary,success,
1PN,Padé [3/2],3,2,Padé [3/2],2.0,1.0,11.879265919988873,1.0182422862166707,0.5881925427530117,0.5673058430220329,0.018242286216670803,3.141313659672962,2.141313659672962,6.753042569584977e-12,6.157963028385893e-12,1,195,1.0,15.0,10000,10000,1.0,maximum_at_lower_boundary,success,
1PN,Padé [3/2],3,2,Padé [3/2],3.0,1.0,11.89039625857422,1.0190811650485498,0.5911098385040868,0.5691813193924767,0.01908116504855003,3.141313659672962,2.141313659672962,2.6576518763476997e-12,3.668176873361517e-13,1,14,1.0,15.0,10000,10000,1.0,maximum_at_lower_boundary,success,
1PN,Padé [3/2],3,2,Padé [3/2],4.0,1.0,11.912545012665799,1.0199123257119647,0.5914427900134582,0.5685740852290602,0.019912325711964815,3.141313659672962,2.141313659672962,9.556799795973347e-13,6.972200594645983e-14,1,15,1.0,15.0,10000,10000,1.0,maximum_at_lower_boundary,success,
1PN,Padé [4/2],4,2,Padé [4/2],1.0,1.0,12.995923375823622,1.062629109612502,0.6268817715571674,0.5551651860671383,0.06262910961250222,3.141313659672962,2.141313659672962,0.0,6.468159341466162e-13,1,18,1.0,15.0,10000,10000,1.0,maximum_at_lower_boundary,success,
1PN,Padé [4/2],4,2,Padé [4/2],2.0,1.0,12.944155594853944,1.0626291096123772,0.6390531627068965,0.5659441446188186,0.06262910961237733,3.141313659672962,2.141313659672962,0.0,8.186784583585904e-13,1,15,1.0,15.0,10000,10000,1.0,maximum_at_lower_boundary,success,
1PN,Padé [4/2],4,2,Padé [4/2],3.0,1.0,13.006260413584727,1.0626291096124518,0.6244099396023379,0.5529761368566498,0.06262910961245186,3.141313659672962,2.141313659672962,0.0,3.7969627442180354e-14,1,15,1.0,15.0,10000,10000,1.0,maximum_at_lower_boundary,success,
1PN,Padé [4/2],4,2,Padé [4/2],4.0,1.0,13.006558441510029,1.0626291096126033,0.6243384645891741,0.5529128387342901,0.06262910961260339,3.141313659672962,2.141313659672962,0.0,3.3306690738754696e-15,1,17,1.0,15.0,10000,10000,1.0,maximum_at_lower_boundary,success,
2PN,Padé [1/1],1,1,Padé [1/1],1.0,1.84008400840084,11.355231661197879,0.9777163411678739,0.4348201802932301,0.4548664905059184,-0.022283658832126036,3.141313659672962,1.3012296512721218,7.138803224115975e-07,0.0038427134245773154,7,163,1.0,15.0,10000,10000,1.0,OK,success,
2PN,Padé [1/1],1,1,Padé [1/1],2.0,1.8554855485548565,11.33563822058528,0.9776400528055595,0.4402613656568811,0.46063040877619715,-0.022359947194440337,3.141313659672962,1.2858281111181054,2.493821791293982e-07,0.0016004674007499275,1,160,1.0,15.0,10000,10000,1.0,OK,success,
2PN,Padé [1/1],1,1,Padé [1/1],3.0,1.870887088708871,11.316739231577785,0.9775891432586743,0.44560729668703736,0.466272233546693,-0.022410856741325615,3.141313659672962,1.2704265709640907,8.497797421291864e-08,0.00065874664271659,8,185,1.0,15.0,10000,10000,1.0,OK,success,
2PN,Padé [1/1],1,1,Padé [1/1],4.0,1.8862886288628875,11.299882240797022,0.977573413940244,0.4505379413281967,0.47144670665503124,-0.022426586059755928,3.141313659672962,1.2550250308100743,2.8885486003105143e-08,0.0002718177174803049,1,214,1.0,15.0,10000,10000,1.0,OK,success,
